Sample ID,Sample Point Description,Longitude,Latitude,Ammonia,Chloride,Fluoride,M-Alkalinity,Nitrate,Phosphate,Sulphate,Chemical Oxygen Demand,Conductivity,pH,E. coli,Quarter
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.15,13.0,0.39,70,0.25,0.05,23,36,23,7.7,-9999,1
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.58,17.0,0.36,76,0.25,0.14,25,-9999,26,7.6,-9999,2
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.18,9.0,0.33,64,0.25,0.05,14,38,19,7.2,-9999,3
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.05,22.0,0.3,120,0.25,0.0,26,25,38,7.8,-9999,4
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.05,13.0,0.28,74,0.25,0.05,14,22,22,7.5,-9999,1
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.05,15.0,0.32,70,0.25,0.05,25,-9999,25,7.9,-9999,2
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.05,18.0,0.32,165,1.4,0.05,30,32,42,8.3,-9999,3
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,2.0,16.0,0.46,43,0.68,1.8,30,12,15,7.2,-9999,4
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.05,14.0,0.46,81,0.7,0.05,-9999,17,32,7.7,-9999,1
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.05,12.0,0.35,69,0.25,0.05,13,24,18,7.6,-9999,2
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.05,15.0,0.32,85,0.25,0.05,23,-9999,28,7.9,-9999,3
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.05,17.0,0.36,153,0.25,0.05,31,25,47,7.9,-9999,4
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.05,35.0,0.51,183,1.39,0.38,53,17,58,8.1,-9999,1
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.05,20.0,0.46,145,1.1,0.12,37,-9999,43,8.1,-9999,2
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,2.3,22.0,0.46,173,0.25,0.17,32,35,43,8.3,-9999,3
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.05,25.0,0.64,110,1.0,0.13,43,28,34,7.4,-9999,4
KW,Klip @ Winkelhaak ,29.399975,-27.244875,1.9,10.0,0.29,71,0.25,0.16,13,23,19,7.5,-9999,1
KW,Klip @ Winkelhaak ,29.399975,-27.244875,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999,2
KW,Klip @ Winkelhaak ,29.399975,-27.244875,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999,3
KW,Klip @ Winkelhaak ,29.399975,-27.244875,0.05,13.0,0.43,56,0.55,0.05,26,13,18,7.3,-9999,4
VD1I,Vaal Dam 1 Integrated @ RW intake,28.12065277777777,-26.88340555555556,0.05,10.0,0.39,69,0.25,0.05,26,34,23,7.7,12,1
VD1I,Vaal Dam 1 Integrated @ RW intake,28.12065277777777,-26.88340555555556,0.05,11.0,0.35,58,0.0,0.05,26,15,20,7.8,-9999,2
VD1I,Vaal Dam 1 Integrated @ RW intake,28.12065277777777,-26.88340555555556,0.05,10.0,0.34,64,72.0,0.05,23,19,20,7.8,-9999,3
