Sample ID,Sample Point Description,Longitude,Latitude,Ammonia,Chloride,Fluoride,M-Alkalinity,Nitrate,Phosphate,Sulphate,Chemical Oxygen Demand,Conductivity,pH,E. coli,Key ,Quarter
VDS,Vaal River downstream of Standerton,29.02480555555556,-27.01554722222222,2.89,15,0.38,94,0.84,1.3,28,23,30,6.7,-9999,-9999,2
VDS,Vaal River downstream of Standerton,29.02480555555556,-27.01554722222222,0.09,10,0.29,66,0.88,0.124,29,28,22,7.6,-9999,-9999,3
VDS,Vaal River downstream of Standerton,29.02480555555556,-27.01554722222222,0.05,16,0.36,102,0.25,0.14,30,24,32,7.8,-9999,-9999,4
VGB,Gladdedrift Bridge @ Villiers,28.72977222222222,-26.99201111111111,0.2,25,0.37,111,1.27,0.15,42,33,41,7.7,-9999,-9999,1
VGB,Gladdedrift Bridge @ Villiers,28.72977222222222,-26.99201111111111,0.25,20,0.33,137,0.25,1.9,39,22,37,8.5,-9999,-9999,2
VGB,Gladdedrift Bridge @ Villiers,28.72977222222222,-26.99201111111111,0.06,13,0.35,80,0.25,0.125,29,23,24,7.9,-9999,-9999,3
VGB,Gladdedrift Bridge @ Villiers,28.72977222222222,-26.99201111111111,0.08,11,0.34,67,0.93,0.82,35,23,26,7.9,-9999,-9999,4
VSS,Sandspruit below Vaal River @ Kliplaatsdrift  ,29.43689722222222,-27.20856111111111,0.13,16,0.47,152,0.25,0.1,48,39,46,8.2,-9999,-9999,1
VSS,Sandspruit below Vaal River @ Kliplaatsdrift  ,29.43689722222222,-27.20856111111111,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999,-9999,2
VSS,Sandspruit below Vaal River @ Kliplaatsdrift  ,29.43689722222222,-27.20856111111111,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999,-9999,3
VSS,Sandspruit below Vaal River @ Kliplaatsdrift  ,29.43689722222222,-27.20856111111111,0.26,9,0.34,96,0.25,0.125,18,26,24,7.7,-9999,-9999,4
VV,Vaal @ Villiers,28.60008888888889,-27.02225833333333,0.16,21,0.44,105,0.99,0.29,39,23,38,7.5,-9999,-9999,1
VV,Vaal @ Villiers,28.60008888888889,-27.02225833333333,0.14,26,0.37,126,0.25,0.125,46,30,41,8.1,8,-9999,2
VV,Vaal @ Villiers,28.60008888888889,-27.02225833333333,0.19,29,0.47,111,1.37,0.125,46,29,39,8.0,473,-9999,3
VV,Vaal @ Villiers,28.60008888888889,-27.02225833333333,0.06,19,0.34,92,0.91,0.125,46,27,41,8.1,-9999,-9999,4
WF,Wilge River @ Frankfort,28.491225,-27.27166666666666,0.07,6,0.1,84,4.2,2.1,8,23,27,7.8,512,-9999,1
WF,Wilge River @ Frankfort,28.491225,-27.27166666666666,0.13,3,0.28,42,0.52,0.125,7,23,11,7.6,797,-9999,2
WF,Wilge River @ Frankfort,28.491225,-27.27166666666666,0.08,4,0.29,48,0.79,0.125,22,21,15,7.5,593,-9999,3
WF,Wilge River @ Frankfort,28.491225,-27.27166666666666,0.11,7,0.28,52,0.56,0.16,11,29,17,7.5,-9999,-9999,4
