Sample ID,Sample Point Description,Longitude,Latitude,Ammonia,Chloride,Fluoride,M-Alkalinity,Nitrate,Phosphate,Sulphate,Chemical Oxygen Demand,Conductivity,pH,E. coli,Quarter
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.12,19.0,0.4,128,0.25,0.37,21.0,37.0,33,7.7,-9999,1
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.23,11.0,0.33,92,0.25,0.13,14.0,30.0,29,7.6,-9999,2
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.22,12.0,0.34,73,0.51,0.47,12.0,42.0,22,7.2,-9999,3
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.94,11.0,0.29,97,0.25,0.79,16.0,27.0,23,7.8,-9999,4
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999,1
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.05,13.0,0.29,165,0.25,0.05,20.0,10.0,35,8.1,-9999,2
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.05,18.0,0.33,198,0.25,0.05,32.0,19.0,47,8.2,-9999,3
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.05,22.0,0.42,160,0.25,0.05,38.0,16.0,38,8.0,-9999,4
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.05,17.0,0.37,136,0.62,0.41,30.0,19.3,36,7.8,-9999,1
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.05,10.0,0.38,96,0.25,0.05,22.0,21.0,26,7.5,-9999,2
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.05,15.0,0.28,135,0.25,0.05,19.0,19.0,34,8.1,-9999,3
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.12,19.0,0.33,195,0.25,0.89,31.0,20.0,46,8.2,-9999,4
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,3.05,49.0,0.6,295,1.3,0.9,55.0,30.0,71,8.5,-9999,1
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.14,26.0,0.44,218,0.71,0.05,35.0,25.0,51,8.4,-9999,2
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.2,20.0,0.49,163,0.52,0.17,41.0,30.0,38,8.0,-9999,3
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.83,41.0,0.68,267,1.46,2.0,40.0,36.0,65,7.7,-9999,4
KW,Klip @ Winkelhaak ,29.399975,-27.244875,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999,1
KW,Klip @ Winkelhaak ,29.399975,-27.244875,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999,2
KW,Klip @ Winkelhaak ,29.399975,-27.244875,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999,3
KW,Klip @ Winkelhaak ,29.399975,-27.244875,0.28,21.0,0.46,150,0.25,0.28,38.0,41.0,41,7.8,-9999,4
