Sample ID,Sample Point Description,Longitude,Latitude,Ammonia,Chloride,Fluoride,M-Alkalinity,Nitrate,Phosphate,Sulphate,Chemical Oxygen Demand,Conductivity,pH,E. coli,Quarter
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.15,10,0.19,100,0.44,0.2,10.0,28,29,7.2,-9999,1
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.12,10,0.16,82,0.18,0.15,12.0,26,23,7.2,-9999,2
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.2,26,0.24,62,1.6,0.1,24.0,26,18,7.3,-9999,3
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,14.07,7,0.45,83,0.24,3.2,14.0,26,23,7.28,-9999,4
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.2,10,0.2,45,0.1,0.1,12.0,27,15,7.0,-9999,1
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.046,10,0.18,70,0.1,0.2,10.0,28,20,7.4,-9999,2
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.05,8,0.27,62,1.1,0.1,10.0,12,20,8.03,-9999,3
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.046,11,0.19,79,0.44,0.2,6.0,21,22,7.5,-9999,4
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.046,14,0.28,145,0.44,0.2,27.0,21,34,7.4,-9999,1
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.046,10,0.17,115,0.1,0.2,17.0,22,28,7.8,-9999,2
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.2,10,0.16,42,0.1,0.1,9.0,27,59,6.6,-9999,3
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.05,12,0.28,193,0.1,0.2,26.0,20,42,7.93,-9999,4
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.2,18,0.24,105,0.48,0.1,25.0,32,75,7.1,-9999,1
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.046,30,0.26,180,1.3,0.28,34.0,33,48,7.9,-9999,2
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.06,39,0.31,247,1.03,0.58,45.0,29,62,8.83,-9999,3
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.51,40,0.26,200,0.98,0.6,39.0,31,52,7.4,-9999,4
KW,Klip @ Winkelhaak ,29.399975,-27.244875,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999.0,-9999,1
KW,Klip @ Winkelhaak ,29.399975,-27.244875,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999.0,-9999,2
KW,Klip @ Winkelhaak ,29.399975,-27.244875,0.2,10,0.22,39,0.1,0.1,7.0,12,12,7.2,-9999,3
KW,Klip @ Winkelhaak ,29.399975,-27.244875,0.046,12,0.27,180,0.44,0.2,12.0,24,42,8.0,-9999,4
S-DENEYSVILLE,Final Effluent of Deneysville WWTW ,28.11176388888889,-26.88508055555555,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999.0,-9999,1
