Sample ID,Sample Point Description,Longitude,Latitude,Ammonia,Chloride,Fluoride,M-Alkalinity,Nitrate,Phosphate,Sulphate,Chemical Oxygen Demand,Conductivity,pH,E. coli,Quarter
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,2.6,19.0,0.46,260.0,0.25,0.11,21.0,74,51.0,7.5,-9999,1
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.18,31.0,0.73,184.0,0.25,0.24,35.0,58,49.0,8.1,-9999,2
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,1.12,15.0,0.34,127.0,0.58,0.14,21.0,32,32.0,7.6,-9999,3
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,1.98,18.0,0.48,178.0,0.65,0.15,20.0,77,45.0,7.5,-9999,4
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.2,12.0,0.36,64.0,0.62,0.05,21.0,20,20.0,7.7,-9999,1
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.1,3.75,0.125,38.0,0.25,0.11,3.5,22,10.0,7.3,-9999,2
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.05,8.0,0.125,54.0,0.25,0.05,9.0,33,14.0,6.9,-9999,3
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.05,8.0,0.125,64.0,0.25,0.11,8.0,35,17.0,8.1,-9999,4
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.12,12.0,0.33,213.0,0.25,0.05,23.0,28,46.0,8.0,-9999,1
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.11,16.0,0.33,138.0,0.25,0.05,26.0,19,36.0,7.9,-9999,2
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.05,8.0,0.29,85.0,0.25,0.05,15.0,25,22.0,7.6,-9999,3
