Sample ID,Sample Point Description,Longitude,Latitude,Ammonia,Chloride,Fluoride,M-Alkalinity,Nitrate,Phosphate,Sulphate,Chemical Oxygen Demand,Conductivity,pH,E. coli,Quarter
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.11,5,0.13,42,0.23,0.08,14,13,12,6.9,-9999,1
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.25,5,0.23,54,0.15,0.18,12,25,21,8.4,-9999,2
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.1,5,0.08,58,0.05,0.05,6,12,14,7.8,-9999,3
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.1,5,0.08,34,0.05,0.05,7,5,10,6.9,-9999,4
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.1,5,0.19,67,0.93,0.025,14,5,77,6.9,-9999,1
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.1,5,0.15,160,0.31,0.05,15,5,35,8.2,-9999,2
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.25,5,0.29,155,0.12,0.1,16,23,41,8.0,-9999,3
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.11,5,0.38,86,0.39,0.05,19,17,23,7.4,-9999,4
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.1,20,0.31,205,1.5,0.19,27,16,50,8.1,-9999,1
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.1,30,0.28,245,1.2,0.5,42,44,59,9.1,-9999,2
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.25,25,0.25,120,0.26,0.52,25,38,51,8.1,-9999,3
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.11,5,0.4,150,0.16,0.11,34,25,38,7.7,-9999,4
KW,Klip @ Winkelhaak ,29.399975,-27.244875,0.11,5,0.12,49,0.05,0.07,11,18,14,6.9,-9999,1
KW,Klip @ Winkelhaak ,29.399975,-27.244875,0.11,5,0.12,49,0.05,0.07,11,18,14,6.9,-9999,2
KW,Klip @ Winkelhaak ,29.399975,-27.244875,0.1,5,0.13,49,0.05,0.05,11,5,14,7.1,-9999,3
KW,Klip @ Winkelhaak ,29.399975,-27.244875,0.1,5,0.14,85,0.34,0.05,8,5,20,7.8,-9999,4
