Sample ID,Sample Point Description,Longitude,Latitude,Ammonia,Chloride,Fluoride,M-Alkalinity,Nitrate,Phosphate,Sulphate,Chemical Oxygen Demand,Conductivity,pH,E. coli,Quarter
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,1.12,15.0,0.34,127,0.58,0.11,21,32,32,7.6,-9999,1
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.97,14.0,0.38,129,0.59,0.24,18,43,33,7.2,-9999,2
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.35,10.0,0.43,76,0.25,0.14,17,35,23,7.3,-9999,3
C-KLIPR_VDAM,Klip River inflow to VaalDam,28.28374166666667,-27.12886944444444,0.99,14.0,0.35,131,0.62,0.15,18,40,34,8.5,-9999,4
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.05,9.0,0.29,76,0.25,0.05,16,24,27,7.5,-9999,1
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.05,19.0,0.41,102,1.13,0.05,24,13,37,7.3,-9999,2
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.15,13.0,0.27,106,0.25,0.05,18,13,29,8.1,-9999,3
KB,Klip River @ Barnardskop,29.60048888888889,-27.47009166666667,0.2,12.0,0.36,64,0.62,0.05,21,20,20,7.7,-9999,4
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.12,16.0,0.33,138,0.25,0.05,26,19,36,7.9,-9999,1
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.05,8.0,0.28,74,0.25,0.05,15,24,23,7.5,-9999,2
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.05,16.0,0.43,112,1.06,0.05,23,13,28,7.4,-9999,3
KD,Klip River @ De Langesdrift ,29.23487222222223,-27.18271388888889,0.05,15.0,0.3,147,0.25,0.05,24,12,38,8.2,-9999,4
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.05,35.0,0.48,240,2.33,0.55,46,31,64,8.7,-9999,1
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.15,31.0,0.53,200,1.51,0.16,61,20,49,7.7,-9999,2
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,0.05,16.0,0.4,180,0.51,0.05,30,24,47,8.2,-9999,3
KSV,Spruitsonderdrift downstream of Vrede ,29.17135277777778,-27.35226388888889,6.2,51.0,0.7,312,0.91,1.87,49,30,83,7.8,-9999,4
KW,Klip @ Winkelhaak ,29.399975,-27.244875,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999,1
KW,Klip @ Winkelhaak ,29.399975,-27.244875,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999,2
KW,Klip @ Winkelhaak ,29.399975,-27.244875,0.05,8.0,0.26,75,0.25,0.05,15,22,23,7.5,-9999,3
KW,Klip @ Winkelhaak ,29.399975,-27.244875,0.16,9.0,0.25,54,0.25,0.05,22,22,18,7.6,-9999,4
VD1I,Vaal Dam 1 Integrated @ RW intake,28.12065277777777,-26.88340555555556,0.16,10.0,0.42,74,0.61,0.05,26,22,25,7.5,14,1
VD1I,Vaal Dam 1 Integrated @ RW intake,28.12065277777777,-26.88340555555556,0.72,9.0,0.35,95,0.63,0.05,21,22,24,7.4,10,2
VD1I,Vaal Dam 1 Integrated @ RW intake,28.12065277777777,-26.88340555555556,0.23,9.0,0.33,61,0.25,0.05,22,21,19,7.7,2,3
VD1I,Vaal Dam 1 Integrated @ RW intake,28.12065277777777,-26.88340555555556,0.25,8.0,0.33,67,0.25,0.05,23,15,19,8.1,5,4
VD2I,Vaal Dam 2 Integrated - Confluence of Vaal & Wilge,28.18608888888889,-26.89689166666667,0.19,10.0,0.31,71,0.25,0.05,29,17,19,8.3,5,1
